レコード種別,カラム名,位置,長さ
CH,本年前年累計成績情報_2_芝22下着回数_2,2634,6
CH,本年前年累計成績情報_2_芝22下着回数_3,2640,6
CH,本年前年累計成績情報_2_芝22下着回数_4,2646,6
CH,本年前年累計成績情報_2_芝22下着回数_5,2652,6
CH,本年前年累計成績情報_2_芝22下着回数_6,2658,6
CH,本年前年累計成績情報_2_芝22超着回数_1,2664,6
CH,本年前年累計成績情報_2_芝22超着回数_2,2670,6
CH,本年前年累計成績情報_2_芝22超着回数_3,2676,6
CH,本年前年累計成績情報_2_芝22超着回数_4,2682,6
CH,本年前年累計成績情報_2_芝22超着回数_5,2688,6
CH,本年前年累計成績情報_2_芝22超着回数_6,2694,6
CH,本年前年累計成績情報_2_ダ16下着回数_1,2700,6
CH,本年前年累計成績情報_2_ダ16下着回数_2,2706,6
CH,本年前年累計成績情報_2_ダ16下着回数_3,2712,6
CH,本年前年累計成績情報_2_ダ16下着回数_4,2718,6
CH,本年前年累計成績情報_2_ダ16下着回数_5,2724,6
CH,本年前年累計成績情報_2_ダ16下着回数_6,2730,6
CH,本年前年累計成績情報_2_ダ22下着回数_1,2736,6
CH,本年前年累計成績情報_2_ダ22下着回数_2,2742,6
CH,本年前年累計成績情報_2_ダ22下着回数_3,2748,6
CH,本年前年累計成績情報_2_ダ22下着回数_4,2754,6
CH,本年前年累計成績情報_2_ダ22下着回数_5,2760,6
CH,本年前年累計成績情報_2_ダ22下着回数_6,2766,6
CH,本年前年累計成績情報_2_ダ22超着回数_1,2772,6
CH,本年前年累計成績情報_2_ダ22超着回数_2,2778,6
CH,本年前年累計成績情報_2_ダ22超着回数_3,2784,6
CH,本年前年累計成績情報_2_ダ22超着回数_4,2790,6
CH,本年前年累計成績情報_2_ダ22超着回数_5,2796,6
CH,本年前年累計成績情報_2_ダ22超着回数_6,2802,6
CH,本年前年累計成績情報_3_設定年,2808,4
CH,本年前年累計成績情報_3_平地本賞金合計,2812,10
CH,本年前年累計成績情報_3_障害本賞金合計,2822,10
CH,本年前年累計成績情報_3_平地付加賞金合計,2832,10
CH,本年前年累計成績情報_3_障害付加賞金合計,2842,10
CH,本年前年累計成績情報_3_平地着回数_1,2852,6
CH,本年前年累計成績情報_3_平地着回数_2,2858,6
CH,本年前年累計成績情報_3_平地着回数_3,2864,6
CH,本年前年累計成績情報_3_平地着回数_4,2870,6
CH,本年前年累計成績情報_3_平地着回数_5,2876,6
CH,本年前年累計成績情報_3_平地着回数_6,2882,6
CH,本年前年累計成績情報_3_障害着回数_1,2888,6
CH,本年前年累計成績情報_3_障害着回数_2,2894,6
CH,本年前年累計成績情報_3_障害着回数_3,2900,6
CH,本年前年累計成績情報_3_障害着回数_4,2906,6
CH,本年前年累計成績情報_3_障害着回数_5,2912,6
CH,本年前年累計成績情報_3_障害着回数_6,2918,6
CH,本年前年累計成績情報_3_札幌平地着回数_1,2924,6
